pasp,asp,terminated,block,floor,unit,carpark,price,revision,terms,related
2018-11-11,2018-11-16,,House H1,,,,59400000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-12-03,2018-12-10,,House H9,,,,46589000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-12-07,2018-12-14,,House H11,,,,47828000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-12-12,2018-12-19,,House H12,,,,48743000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2018-12-13,2018-12-20,,House A7,,,106&107,86000000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-02-12,2019-02-19,,House A16,,,90&91,77432400,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計270天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 270 days after the vendor’s signing of the preliminary agreement -- 提前付清售價現金回贈 Early settlement cash rebate (見備註7(ii)/ See Remarks 7(ii)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-01,2019-04-09,,House H38,,,,38668000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-01,2019-04-08,,House H39,,,,38750000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-01,2019-04-09,,House H55,,,,39663000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-02,2019-04-10,,House H51,,,,39734000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-04,2019-04-12,,House H52,,,,39662500,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-07,2019-04-11,,House H50,,,,39186000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-07,2019-04-12,,House H60,,,,40817000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-08,2019-04-15,,House H37,,,,40439000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-10,2019-04-17,,House H35,,,,47500000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-10,2019-04-16,,House H15,,,,49015000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-12,2019-04-16,2020-01-24,House H36,,,,46904000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-12,2019-04-16,,House H56,,,,43359000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120 天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) (詳情請參閱招標文件 Details please refer to the tender document.)",
2019-04-13,2019-04-18,,House H18,,,,49156000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v)) 詳情請參閱招標文件 ( Details please refer to the tender document)",
2019-04-15,2019-04-24,,House H16,,,,48800000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 1100 一 按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-04-15,2019-04-24,,House H23,,,,50400000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-04-16,2019-04-25,,House H30,,,,53773000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃 Super Easy 一 按付款計劃 La Vetta Super Easy First Mortgage Plan (見備註7(iv)/ See Remarks 7(iv)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
2019-04-17,2019-04-26,,House H17,,,,49377000,,"樓價5%的臨時訂金須於賣方簽署臨時買賣合約時繳付; 樓價5%的部份樓價須於賣方簽署臨時買賣合約後起計30天內繳付; 樓價90%的樓價餘款於賣方簽署臨時買賣合約後起計120天內繳付。 5% of the purchase price, being preliminary deposit shall be paid upon the vendor’s signing of the preliminary agreement; 5% of the purchase price, being part payment of the purchase price shall be paid within 30 days after the vendor’s signing of the preliminary agreement; 90% of the purchase price, being the balance of the purchase price shall be paid within 120 days after the vendor’s signing of the preliminary agreement. -- 澐灃1100 一按付款計劃 La Vetta 1100 First Mortgage Plan (見備註7(iii)/ See Remarks 7(iii)) -- 發展項目一個車位認購權利 Right to purchase a car park in the Development (見備註7(v)/ See Remarks 7(v))",
